徒手平衡功能检查,完善患者平衡功能评定，,评估患者平衡功能是否稳定、是否有提升、改善，,评估患者平衡功能是否稳定、是否有提升、改善，
仪器平衡功能评定,完善患者平衡功能评定，,评估患者平衡功能是否稳定、是否有提升、改善，,评估患者平衡功能是否稳定、是否有提升、改善，
膝关节功能障碍评定,评估膝关节功能及关节活动范围、关节是否存在挛缩，,评估膝关节功能及关节活动范围是否有提升、改善，有否新发关节挛缩，,评估膝关节功能及关节活动范围是否有提升、改善，
膝关节活动范围检查,评估膝关节功能及关节活动范围、关节是否存在挛缩，,评估膝关节功能及关节活动范围是否有提升、改善，有否新发关节挛缩，,评估膝关节功能及关节活动范围是否有提升、改善，
步态分析检查,完善步态分析检查评估是否存在异常步态，,完善步态分析检查评估异常步态/完善步态分析检查评估异常步态矫治效果，,完善步态分析检查评估异常步态矫治效果，
双下肢肌力检测,完善肌力检测评估是否存在肌力异常、半定量评估肌力异常程度，,完善肌力检测评估是否存在肌力异常、半定量评估肌力异常程度/完善肌力检测评估肌力异常改善程度，,完善肌力检测评估目前肌力异常问题程度及改善程度，
肺功能康复评定,完善肺功能康复评定以评估患者肺功能及储备是否存在下降，,完善肺功能康复评定以评估患者肺功能及储备是否存在下降/完善肺功能康复评定评估费功能及储备有否改善或进一步恶化，,完善肺功能康复评定评估费功能及储备有否改善或进一步恶化，
疼痛综合评定,评估患者是否存在疼痛不适并初步确定疼痛部位、性质、程度，,评估患者是否存在疼痛不适并初步确定疼痛部位、性质、程度/评估患者原疼痛不适情况有否改善、加重或特征变化，,评估患者目前仍存在疼痛问题及原疼痛不适情况有否改善、加重或特征变化，
疲劳度测定,评价运动疲劳及耐受情况、帮助改善康复干预依从性，,评价运动疲劳及耐受情况、帮助进一步改善康复干预依从性，,评价运动疲劳及耐受情况、帮助进一步改善家庭社区康复干预依从性，
日常生活能力评定,评价患者日常生活各项基本能力状况，,评价患者日常生活各项基本能力状况近期有无改善，,评价患者日常生活各项基本能力状况有无改善，
手功能评定,评估患者上肢近端（腕、手关节）活动度、肌力、感觉、灵巧性及协调功能，,评估患者上肢近端（腕、手关节）活动度、肌力、感觉、灵巧性及协调功能近期有无改善，,评估患者上肢近端（腕、手关节）活动度、肌力、感觉、灵巧性及协调功能近期有无改善，
认知知觉功能检查,评估患者是否存在认知知觉功能损害，,评估患者是否存在认知知觉功能新近损害/评估患者原认知知觉功能损害有否改善，,评估患者认知知觉功能损害情况及改善程度，
精神科A类量表测查,完善必要精神科量表测查评估患者是否存在情绪-心境问题或心境障碍倾向（入院专科检查提示可能存在情绪/心境问题倾向），,评估患者是否情绪-心境问题或心境障碍倾向有无好转，,评估患者是否情绪-心境问题或心境障碍倾向有无好转，
精神科B类量表测查,完善必要精神科量表测查评估患者夜间睡眠质量、判断是否存在失眠或其他睡眠障碍问题，,评估患者近期适当药物或非药物干预后睡眠情况有否改善，,评估患者近期适当药物或非药物干预后睡眠情况有否改善，
精神科C类量表测查,完善必要精神科量表测查评估患者记忆力、智力等损害情况（入院专科检查提示认知知觉功能损害/痴呆状态），,评估患者近期记忆力、智力等损害情况有否改善，,评估患者近期记忆力、智力等损害情况有否改善，
失认失用评定,评估患者是否存在失认症、失用症，,评估患者是否存在新近出现失认症、失用症/评估患者失认失用情况有无改善，,评估患者失认失用情况及其改善程度，
言语能力评定,评估患者言语能力是否存在损害，,评估患者言语能力是否存在损害/评估患者言语能力有无改善，,评估患者言语能力有无改善，
吞咽功能障碍评定,评估患者是否存在吞咽障碍、明确吞咽障碍性质特征，,评估患者有无新发吞咽障碍/评估患者原吞咽障碍、明确吞咽障碍性质特征有无变化、功能有无改善，,评估患者吞咽功能、明确吞咽障碍性质特征有无变化、功能有无改善，
失语症检查,评估患者是否存在失语症、鉴别失语症类型，,评估患者失语症有无改善、再次评估其类型性质，,评估患者失语症有无改善，
